Author,Webpage,Mail,Calendar,Browser,Password Manager,Messaging,Notes,Cloud File Storage,To-Do,Code Editor,Terminal,Blogging,Launcher
Luke Harris,https://www.lkhrs.com/blog/2023/defaults/,Apple Mail,Apple Calendar,Safari,1Password,iMessage,Obsidian on macOS; iA Writer on iOS,iCloud Drive,Apple Reminders,Sublime Text,macOS Terminal,N/A,macOS Spotlight
sleepingcat42,https://sleepingcat42.github.io/2023/11/18/my-default-apps/,QQ mail + Wechat,Microsoft Calendar,Chrome,Chrome,WeChat,Vscode,Jianguoyun,Phone Default App,VS Code,,Github Pages + Hexo,None mentioned in the provided text
Kevin Lawver,https://lawver.net/2023/11/app-defaults/,Mimestream,Fantastical,Firefox,1Password,,Apple Notes,Google Drive and iCloud,Apple Reminders,VS Code,,,
Barry Frost,https://barryfrost.com/2023/11/app-defaults-in-late-2023,Mimestream,iCloud Calendar,Safari,1Password,WhatsApp,Reflect,iCloud Drive,Things,,,,
Carl Barenbrug,https://carlbarenbrug.com/app-defaults,Apple Mail,Apple Calendar,Arc (Safari + Firefox for testing),Apple Keychain,Apple Messages + Telegram,iA Writer + Apple Notes,iCloud,iA Writer,Visual Studio Code,,Are.na,None mentioned
Clark,https://minimalune.medium.com/app-defaults-341e5fd5375b,Spark,Apple Calendar,Safari,Apple Keychain,Telegram,Bear,iCloud,Things 3,iA Writer,,iA Writer,Not provided
Pipu,https://pipuwong.com/en/my-default-app-2023,Spark,,Safari,Bitwarden,,Obsidian,Synology Drive,DooTask,Visual Studio Code,FinalShell,,Raycast
Tamas,https://iamdtms.medium.com/re-my-app-defaults-2023-edition-b9311620ecdd,Gmail,Google Calendar,Brave,Bitwarden,Messenger,Google Keep,Google Drive,,Visual Studio Code,,,
Antonio,https://antonio.is/2023/11/26/app-defaults/,Mail.app,Calendar.app,Safari,Dashlane,Whatsapp,Notes.app,Dropbox,Reminders,Atom,,n/a,n/a
Ivo Damjanovic,https://damjanovic.it/2023/11/26/my-defaults.html,Apple Mail,Apple Calendar,Safari,iCloud Keychain,WhatsApp,Markdown and Apple Notes,iCloud,Apple Reminders,(not provided),(not provided),(not provided),(not provided)
Bye,https://byemc.xyz/2023/app-defaults,Fastmail,Apple Calendar,Firefox Developer Edition,1Password,Discord,Notes,iCloud+,Apple Reminders,N/A,N/A,N/A,N/A
Murtuzaali Surti,https://syntackle.live/blog/app-defaults-2023-what-i-use-by-murtuzaali-surti-qhifV/,Gmail,Google Calendar,Chrome,Bitwarden,WhatsApp,Notion,Google Cloud,,VS Code,,,
Rom,https://my.advocrazy.com/2023/11/26/after-reading-maiques.html,Mail.app,Calendar.app,Safari,iCloud Password,Messages.app,Notes.app,iCloud Drive,Reminders.app,,,Micro.blog,
Gunnar,https://gunnar.se/2023/11/26/default-apps.html,Hey.com,macOS Calendar,Google Chrome,1Password,Slack,iA Writer,Dropbox and iCloud Drive,Things,Nova,(No application listed),Micro.blog,
Matt Cool,https://mattcool.tech/posts/default-apps-2023,Gmail,GCal,Firefox,1Pass,Discord,Apple Notes,Google Drive,Keep,VSCode,N/A,N/A,N/A
Chris Coyier,https://chriscoyier.net/2023/11/25/default-apps-2023/,Mimestream,Busycal,Arc,1Password,Discord,Notion (professionally),Dropbox,Things,VS Code,N/A (not listed),N/A (not listed),N/A (not listed)
James Doc,https://jamesdoc.com/blog/2023/defaults-in-2023/,,,,,,,,,,,,
Floh Gro,https://flohgro.com/productivity/app-defaults-2023/,Apple Mail,Fantastical,Safari,1Password,iMessage,Drafts,iCloud Drive,Todoist,N/A,N/A,N/A,N/A
Abhinav,https://arkoinad.com/posts/default_apps_2023.html,Mail app,,Safari,Keychain access,,Apple Notes,Dropbox,Reminders app,VS Code/Emacs/Vim,Terminal.app,,Spotlight
Chris Enns,https://chrisenns.com/2023/11/app-defaults/, Mail.app,Fantastical,Arc,,iMessage, Notes,Dropbox, Reminders,,,,
Kevin Wammer,https://cliophate.wtf/posts/default-apps,Fastmail,Fantastical,Arc (desktop),1Password,Discord,Bear Notes,Apple iCloud,Apple Reminders,Jupyter Notebooks,,,
Amit Gawande,https://www.amitgawande.com/2023/11/21/app-defaults.html,HEY,Google Calendar,Arc,1Password,WhatsApp,Notion,Dropbox,TickTick,Visual Studio Code,,,
Ravi,https://ravi.weblog.lol/2023/11/default-apps,Fastmail,Google Calendar,Firefox (desktop),1Password,,,Google Drive & iCloud Drive,Reminders,,,,
Pedro Cora,https://blog.pcora.eu/2023/11/21/app-defaults.html,Proton,Calendar.app,Safari,1Password,iMessage,Drafts,iCloud,Things,,,,
Vijay Prema,https://vijayprema.com/defaults/,Thunderbird,,Firefox,Bitwarden,Whatsapp,Obsidian,Nextcloud,tasks.org,VSCode,Kitty,Ghost,KISS
rexarski,https://rexarski.com/posts/2023-11-20-app-defaults-2023/,Apple's Mail,Fantastical,Safari,1Password,Telegram,Drafts,Dropbox,Things 3,VSCode,Not mentioned,Hugo,Raycast
Suhas,https://suhas.weblog.lol/defaults,Webmail,Apple Calendar,Safari,Bitwarden,Discord,Apple Notes,FileRun,tweek,,,,
AJ Bourg,https://aj.bourg.family/home-screen-defaults-subscriptions-2023/,Gmail,Calendar,Safari,None mentioned,Slack,Notes,Pocket,Things,None mentioned,None mentioned,DayOne,None mentioned
Ian Dick,https://www.iandick.com/default-apps-2023/,Gmail,Calendar 366,Safari,1Password,iMessage,Notes.app and OneNote (work),iCloud,Todoist,Visual Studio Code,iTerm 2,None mentioned,Raycast
Adam Nowak,https://lubieniebieski.pl/defaults/,Mail.app,Calendar.app,Arc,1Password,iMessage,PKM: Logseq + Drafts + Notes.app,iCloud Drive,Reminders.app,,,,
podiboq,https://podiboq.micro.blog/2023/11/18/120817.html,Apple Mail,Fantastical,Arc,Bitwarden,Signal,Apple Notes + Bear,Dropbox + iCloud,Hobonichi Weeks + Apple Reminders,N/A,N/A,N/A,N/A
Marcel Kapfer,https://mmk2410.org/uses/#software,mu4e,Nextcloud web calendar app,Firefox,KeePassXC,Signal,1Writer,Nextcloud,Orgzly,Emacs and sometimes PhpStorm,vterm,Scribus and LaTeX,None mentioned
Scotty Jackson,https://heyscottyj.com/2023/11/17/my-app-defaults.html,Mail,Calendar,Safari,Keychain/iCloud Passwords,Messages,Notes,iCloud Drive,Reminders,,,,
Jason V,https://www.fromjason.xyz/p/notebook/app-defaults/,Outlook,Outlook,Safari,1 Password,Discord,Notion,iCloud +,iOS Reminders,iA Writer,Not specified,Not specified,Not specified
Patryk Chojecki,https://chojecki.net/posts/Apps2023,Gmail,Apple Calendar,Safari,bitwarden,Signal,Apple Notes,iCloud,Apple Reminders,Visual Studio Code,,,Raycast
Martin Feld,https://loungeruminator.net/2023/11/17/mr-default/,Apple Mail,Calendar,Safari,Safari (iCloud Keychain),Discord,iA Writer,iCloud Drive,Reminders,N/A,N/A,N/A,N/A
Blake Watson,https://blakewatson.com/journal/default-apps-2023/,Mail.app,Fantastical,Arc,1Password,Discord,Bear,Dropbox,Things,Visual Studio Code,iTerm2,,
Nicolas Devenet,https://www.nicolas.pm/note/2023/mes-applications-par-defaut-en-2023,Gmail,Google Agenda,Mozilla Firefox,KeePassXC,Apple Messages,Apple Notes,Nextcloud (auto-hébergé),Apple Rappels,LaTeX,,Shaarli (auto-hébergé),N/A
Xiaofei Ge,https://xiaofei.ge/posts/default-app-2023/, iCloud,Fantastical, Safari, Apple Keychain,WeChat,Obsidian, iCloud Drive,Things,Sublime text,N/A,N/A,Alfred
Jason Fry,https://jasonfry.co.uk/blog/app-defaults/,Apple Mail,Google Calendar,Firefox,Bitwarden,SMS,Obsidian,Filen,Obsidian,Vim,(no clear mention of specific application),(no clear mention of specific application),(no clear mention of specific application)
Nate,https://nate.mecca1.net/posts/2023-11-14_defaults/,Proton Web,Simple Calendar,LibreWolf,Keepass,Matrix,Joplin,IceDrive (web),n/a,,Termux,n/a,n/a
Dan Hill,https://pileoftext.mataroa.blog/blog/default-apps-in-2023/,Mailbox.org,Thunderbird,Firefox,Bitwarden,Signal,Joplin,Nextcloud,,,,,
Jarkko Tervonen,https://jarkko.dev/blog/my-default-apps-at-2023/,Gmail,Google Calendar,Google Chrome,Bitwarden,WhatsApp,Obsidian,Google Drive,Bullet Journal,,,,
Martin Schuhmann,https://martinschuhmann.com/2023/11/13/my-default-apps.html,Fastmail,Fastmail,Safari,Bitwarden,Signal,iA Writer and Apple Notes,iCloud Drive and Microsoft OneDrive,iA Writer,N/A,N/A,N/A,N/A
Kevin,https://itskev.in/2023/11/13/app-defaults.html,Fastmail,Fantastical,Firefox,1Password,Apple Messages,Notes.app,iCloud Drive,Todoist,N/A,N/A,N/A,N/A
Nikola Kotur,https://nikola.kotur.org/my-default-apps-and-services-in-late-2023,Claws Mail,Google Calendar,Firefox,Bitwarden with Vaultwarden,Signal,Nextcloud Notes,Nextcloud,,Sublime Text,,,
Dom Jay,https://dominickjay.com/writing/default-apps/,Gmail,Google Calendar,Arc,Bitwarden,WhatsApp,Notion,Google Drive,Ticktick,Visual Studio Code,,Notion,Not mentioned
Lucas,https://lucas.art/blog/app-defaults/,Apple Mail,Apple Calendar,Safari,Bitwarden,Discord,Apple Notes,iCloud,None,Ulysses,None,None,
Robert P,https://frittiert.es/frittiert-es/2023/11/app-defaults,Gmail,Google Calendar,Firefox,LastPass,WhatsApp,Evernote,Google Drive,Todoist,Visual Studio Code,-,WordPress,-
Bruce Hu 小胡同学,https://yinji.org/5179.html ,Mail Master 网易邮箱大师,Huawei Calendar on Honor 30 Pro,Microsoft Edge,Bitwarden(self-hosted) on my VPS,WeChat,Obsidian,Huawei Cloud on Honor 30 Pro,Huawei Notes on Honor 30 Pro,None,None,WordPress on my VPS,None
Kyle Nichols,https://world.hey.com/kylenichols/my-defaults-0b855cc1,HEY,Apple Calendar,Safari,iCloud KeyChain,iMessage,Apple Notes,iCloud Drive,Apple Reminders,,,,
Mt Front,https://blog.douchi.space/app-defaults/,Bluemail,Google Calendar,Chrome,Chrome,Discord,Notion,Dropbox,TickTick,VS Code,,Github Pages,Google Assistant
Zack Apiratitham,https://vatthikorn.com/2023-default-apps,Spark,Fantastical,Safari,1Password,iMessage,Notion,iCloud Drive,Apple Reminders,Visual Studio Code,iTerm 2,BBEdit,Raycast
soeren,https://gluecko.se/2023/default-apps-2023/,Mail.app,Calendar.App,Safari,Enpass,Signal,Notes.app,Synology Drive,Reminders.app,Blank,Blank,Blank,Blank
Michal Zelazny,https://www.michalzelazny.com/joining-the-party/,Apple Mail,Apple Calendar,Apple Safari,Apple Keychain,Apple Messages,Apple Notes,n/a,Apple Reminders,n/a,Apple Terminal,WordPress,Spotlight
Dhruva Sambrani,https://dhruvasambrani.github.io/blog/2023-11-12_003358,Gmail/institute mail,Selfhosted Radicale,Fennec (android),pass(1),Signal & WhatsApp,Joplin,Syncthing,Joplin with Kanban plugin,VSCodium,,,KISS (Android)
Dan Q,https://danq.me/2023/11/12/lifestack-2023/,Proton Mail,Google Calendar,Firefox,KeePassXC,Slack,Obsidian,ownCloud,Obsidian,Sublime Text,,WordPress,RayCast
polarhive,https://polarhive.net/blog/app-defaults,Thunderbird,Thunderbird/Etar,Firefox,Bitwarden,Telegram,Paper notes,Not specified,Telegram: Saved Messages,nvim,Not specified,Not specified,Not specified
Pratik,https://microblog.pratikmhatre.com/2023/11/12/default-apps.html,Fastmail,Outlook,Arc,1Password,WhatsApp,Drafts,iCloud and Dropbox,Apple Reminders,Stata,Not provided,MarsEdit,Apple Spotlight
V,https://vmac.ch/posts/2023-11-05-app-default/,Apple Mail,Calendar,Safari,1PW,iMessage,Email,Dropbox,Obsidian,,,,
Jason Burk,https://grepjason.sh/2023/duel-of-the-defaults,Mail.app,Fantastical.app,Safari.app,1Password.app,Messages.app,Notes.app,iCloud Drive.app,Reminders.app,,,,
Mike Haynes,https://crashthearcade.com/post/3734/,Apple Mail,Apple Calendar,Safari (personal),1Password,iMessage,Apple Notes,iCloud,Apple Reminders,Nova,,,
Steve Makofsky,https://makoism.com/defaults/,Apple Mail,Apple Calendar,Safari,1Password,Apple Messages and Signal,Apple Notes,iCloud,Things,VSCode,Not mentioned,Not mentioned,Not mentioned
Bodo Tasche,https://bitboxer.de/2023/11/12/default-apps-2023/,Apple Mail,Fantastical,Firefox (Desktop),1Password,,Bear,iCloud,OmniFocus,Visual Studio Code,iTerm2,,Alfred
Ghordano,https://ghordano.com/2023/11/11/default-apps-2023/,,,,,,,,,,,,
Victor Kropp,https://victor.kropp.name/blog/app-defaults/,Mail.app,Google Calendar,Safari (personal) & Google Chrome (work),1Password,Telegram,Apple Notes,Google Drive,Apple Reminders,,,,
Manuel Moreale,https://manuelmoreale.com/app-defaults,Apple Mail,Apple Calendar,Safari,1Password,Apple Messages,iA Writer,iCloud,iA Writer,Sublime Text,Not provided,iA Writer,Not provided
James Kupke,https://www.jameskupke.com/posts/my-default-apps-2023/,Thunderbird,Thunderbird,Firefox,Bitwarden,Signal,Joplin,Syncthing,jtx Board,N/A,N/A,N/A,N/A
TheHolyTachanka,https://theholytachanka.com/posts/default-apps/,Proton webui,,Brave,Bitwarden,Signal,Signal(Notes to self),Proton drive,,VSCodium,,,
Oskar van Rijswijk,https://ovr.today/2023/11/11/app-defaults.html,Apple Mail,Apple Calendar,iOS Safari,iCloud Keychain,WhatsApp,Textastic,iCloud+,Things,Drafts,,n/a,n/a
Frank Meeuwsen,https://frank.micro.blog/2023/11/11/default-apps-of.html,Fastmail,Fastmail,Brave,,,Obsidian,iCloud,Reminders,,iTerm,Drafts,Raycast
MereCivilian,https://merecivilian.com/merecivilians-default-apps-2023/,Google Workspace,Google Calendar,Arc,1Password,Beeper,Notion,Dropbox,Todoist,Not provided,Not provided,Notion,Not provided
Marty Day,https://www.blast-o-rama.com/2023/11/10/hopping-aboard-that-default-apps-2023-train/,Mimestream,Fantastical,Safari,1Password,iMessage,Bear,Google Drive,Things,,,,
面条,https://chi.miantiao.me/post/app-defaults-2023/,Spark,Apple Calendar,Edge,Enpass,Wechat,Apple Notes,iCloud,Apple Reminders,,,,
FuzzyGrim,https://www.fuzzygrim.com/posts/default-apps-2023,Purelymail,Nextcloud Calendar,Firefox,Bitwarden,Signal,Nextcloud Notes,Nextcloud,Nextcloud Tasks,Visual Studio Code,Kitty,(not mentioned),(not mentioned)
Chris Hannah,https://chrishannah.me/2023-app-defaults,Apple Mail,Apple Calendar app,Safari,iCloud and 1Password,iMessage and WhatsApp,Apple Notes or Neovim,iCloud Drive,Things 3,Visual Studio Code,iTerm 2 with ZSH and Oh My ZSH,(no application specified),(no application specified)
Jason Becker,https://json.blog/2023/11/10/default-apps-alright.html,Fastmail,Fantastical,Safari,1Password,,iA Writer,iCloud,Things 3,neovim,iTerm2,MarsEdit,
Another Dayu,https://anotherdayu.com/2023/5452/,Spark,Apple Calendar,Firefox,Enpass,Telegram and Wechat,Obsidian + Obsidian Sync and Drafts,icloud and Nutstore (WebDAV),Things 3,Online Jupter Notebook (Google Colab and Featurize) and Rstudio,(not provided),WordPress with personal VPS,Alfred
alienlebarge,https://alienlebarge.ch/articles/2023/11/my-defaults-apps-end-of/,HEY,Fantastical,Arc,1Password,iMessage,Worflowy,iCloud (photos),Worflowy,Nova,Warp,N/A,Raycast
mb,https://jarunmb.com/2023/11/09/my-2023-default-apps/, Mail, Calendar, Safari,1Password for Families, Messages, Notes, iCloud,Goodtask w/  Reminders,,,,Alfred
Garrett,https://blog.heygarrett.com/2023/11/app-defaults,Apple Mail,Fantastical,Safari,1Password,iMessage,Apple Notes,iCloud Drive,Apple Reminders,Neovim,Wezterm,,
Yinan,https://yinan.me/my-defaults,iCloud and Gmail,Calendar.app (Personal) and Outlook (Work),Safari on iOS,1Password,WeChat,Obsidian and DEVONthink,iCloud Drive (Personal) and Google Drive (Work),OmniFocus,Visual Studio Code,N/A,N/A,N/A
Rebecca Owen,https://beccais.online/2023/11/default-apps-2023/, Mail, Calendar,Safari,1Password,iMessage,Obsidian,iCloud Drive,Things 3,Xcode,iTerm2,Blank,Raycast
Martin Schneider,https://www.dertagundich.de/2023/11/meine-programme,Apple Mail,Apple Kalender,Firefox and Chrome,1Password,Slack,Apple Notizen,iCloud and Dropbox,Apple Erinnerungen,PHPStorm and Visual Studio Code,,[Blank],[Blank]
Wade Urry,https://iwader.co.uk/posts/2023/11/app-defaults/,GMail,iCloud Calendar,Chrome,1Password,Discord,iCloud Notes,Google Drive,iCloud Reminders,,,,
Johnny Noble,https://johnnydecimal.com/20-29-communication/22-blog/22.00.0018-defaults/,Mail.app,Fantastical/iCloud,Safari,1Password,iMessage/Discord,Bear,,Scrap of paper and pencil,VSCode,null,null,null
Juan B. Rodriguez,https://jbrio.net/posts/default-apps-2023/,Mail.app,Calendar.app,orion,bitwarden,WhatsApp,zed,iCloud Drive,togodo,zed,,None,None
benji,https://benji.dog/articles/defaults-2023/,Thunderbird,Simple Calendar,Firefox,Bitwarden,Signal,Obsidian,Syncthing,Note to Self on Signal,None provided,None provided,None provided,None provided
Clayton Errington,https://claytonerrington.com/blog/default-apps/,Thunderbird,iCal,Firefox,Bitwarden,Matrix,Obsidian,NextCloud,Obsidian,,,,
Joel,https://joelchrono.xyz/blog/default-apps-2023/,Disroot.org,Simple Calendar,Firefox,KeepassXC,Signal,Joplin,Syncthing,Signal (Note to Self),N/A,N/A,N/A,N/A
Greg Morris,https://www.gr36.com/2023/11/09/on-defaults.html,(not specified),Apple Calendar,(not specified),(not specified),(not specified),(not specified),(not specified),Todoist,(not specified),(not specified),(not specified),(not specified)
Kush,https://krabf.com/my-app-defaults-2023/,Spark Mail,Cron,Arc,,,Apple Notes,iCloud,Things,VSCode,,,Raycast
Michael Fürstenberg,https://furstenberg.co/defaults/,Mail.app,Fantastical,Safari,1Password,iMessage,Notes.app,iCloud,Reminders,iA Writer,,,
Josh Ginter,https://thenewsprint.co/2023/11/09/my-default-apps-in-2023/,Microsoft Exchange,Fantastical,Arc on Mac,1Password,Messages,Apple Notes,iCloud (personal),Things 3,Ulysses,,,Alfred 5
Dominik Schwind,https://lostfocus.de/2023/11/09/defaults/,the stock Mail app on iOS and Mac,the stock calendar apps,Firefox,1Password,Slack,Drafts and nvAlt,Dropbox and iCloud,Things,(not specified),(not specified),(not specified),(not specified)
Alberto Marinucci,https://alby.xyz/index.php/2023/11/08/le-mie-app-di-default-2023/,Gmail,Google Calendar,Chrome,Bitwarden,,Google Keep,Google Drive,Tasks,,,,
Cedric,https://www.cedricbonhomme.org/2023/11/08/my-default-apps-at-the-end-of-2023/,AlwaysData,Kalendar,Firefox,pass,Matrix,Nextcloud - Notes,Nextcloud,None mentioned,VSCodium,None mentioned,None mentioned,Kickoff
Tim Bornholdt,https://timbornholdt.com/blog/my-default-apps-at-the-end-of-2023,Apple Mail,Fantastical,Safari,1Password,Slack,Apple Notes,Dropbox,Apple Reminders,Visual Studio Code,,,Alfred
Henrique Dias,https://hacdias.com/uses/#software,Native macOS and iOS apps,Native macOS and iOS apps,Chrome on macOS,1Password,,Native macOS and iOS apps,iCloud,,,,,
Robin Opletal,https://robinopletal.com/posts/default-apps-fall-2023,Thunderbird,Thunderbird,Firefox,Bitwarden,,Joplin,Tailscale,Joplin,,,,
Mandaris,https://mandarismoore.com/2023/11/08/defaults-in.html,Mail.app,iCloud/Calendar,Safari,1password,Messages.app,Notes.app,iCloud,Reminders/OmniFocus,,,,
Jack Baty,https://baty.net/posts/2023/11/app-defaults,Apple Mail,BusyCal,Arc,1Password,Apple Messages,Org-mode (Emacs),,Things,Emacs,iTerm,Kirby,Raycast
Camiel Schoonens,https://schoonens.social/2023/11/08/default-apps.html,Outlook,Fantastical Calendar,Safari,1Password,Messages and WhatsApp,Agenda,iCloud Drive,Things,,,(not provided),Alfred
Lee Peterson,https://ljpuk.net/2023/11/08/my-default-apps-at-the-end-of-2023/,Apple Mail,Fantastical,Safari,iCloud Keychain,Messages and Signal,Apple Notes,iCloud,Things 3,(No application listed),(No application listed),(No application listed),(No application listed)
Ankaph,https://ankaph.xyz/posts/app-defaults/,Proton Mail,Proton Calendar,Firefox,Bitwarden,Whatsapp,Logseq,Proton Drive,Logseq,None provided,None provided,Logseq,None provided
Jason Kratz,https://blog.jasonkratz.me/2023/11/08/my-default-apps-2023/,Fastmail,Apple Calendar,Brave,1Password,,Obsidian,Google Drive,Things,Visual Studio Code,iTerm 2,Ulysses,Alfred
Caleb Hearth,https://calebhearth.com/apps-i-use-2023,Fastmail,Fantastical,Safari,iCloud Keychain,,Notion,iCloud,Reminders.app,nvim,Kitty,Not mentioned in the article,Spotlight
Thomas Rigby,https://thomasrigby.com/posts/duel-of-the-defaults-2023/,Fastmail,Fastmail,Firefox,BitWarden,WhatsApp,Obsidian,Drive,Todoist,,,,
82MHz,https://82mhz.net/posts/2023/11/apps-im-using-in-2023/,Thunderbird,Mailbox.org calendar,Firefox,Keepassxc,Signal,Obsidian,Syncthing,,Obsidian,,,
Colin Walker,https://colinwalker.blog/blog/?date=2023-11-08,mail.app,Google Calendar,Arc (Mac),,,/notes page,iCloud,/notes page,,,(b)log-In,Raycast
Niko,https://nikokultalahti.com/posts/my-default-apps-late-2023/,Mail.app,Calendar.app,Safari,1Password,Signal,Notes.app,iCloud,Reminders.app,VSCodium,iTerm 2,Ghost CMS,Raycast
Thord D. Hedengren,https://bored.horse/post/app-defaults-late-2023/,Mail,Calendar,Safari,1Password,iMessage,Notes,Dropbox,Reminders,,,,
Otávio Cordeiro,https://otavio.cc/app-defaults/,Mail.app,Calendar.app,Safari.app,1Password,Messages.app,Notes.app,iCloud Drive,Reminders.app,Vim,Terminal.app,Micro.blog,N/A
Abhinav,https://notes.abhinavsarkar.net/2023/default-apps,GMail,Google Calendar,Firefox,1Password,Telegram,Apple Notes,Google Drive,Google Tasks,Visual Studio Code,iTerm,N/A,Spotlight
Dustin,https://0xdstn.site/thoughts/default-apps-2023/,Gmail,Google Calendar,Firefox,Enpass,Google Messages,Nextcloud Notes,Nextcloud,,vim,,,mLauncher
Jan-Lukas Else,https://jlelse.blog/posts/default-apps-late-2023,Thunderbird,Baïkal,Firefox,Bitwarden,Telegram,Simplenote,OneDrive,Bring!,IntelliJ IDEA,Not specified,Not specified,Not specified
Bryce Wray,https://www.brycewray.com/posts/2023/11/riding-trend-my-defaults/,built-in Mail app,built-in Calendar app,Chromium-based one (Google Chrome,Bitwarden,N/A,Standard Notes,,built-in Calendar app,N/A,N/A,N/A,N/A
Chris ODonnell,https://odonnellweb.com/pelican/default-apps-2023.html,Polaris mail,Group Office,Firefox,Bitwarden,Text messaging,Text files synced with Dropbox,Dropbox,Open task,text editor,(not mentioned),(not mentioned),whatever the Gnome 3 default is
jwb,https://blog.bdw.li/posts/app-defaults/,Mozilla Thunderbird,Tiny Calendar,Mozilla Firefox,1Password,Signal,Notepad++,Nextcloud,Apple Reminders with iCloud2,VSCodium,MobaXterm,Not mentioned,Not mentioned
Maarten van Gompel,https://proycon.anaproy.nl/posts/default-apps/,aerc,todo.txt-more,Firefox,pass,senpai + soju (IRC),neovim,,todo.txt with my own todo.txt-more extension,neovim,,,bemenu
Johan Bleuzen,https://www.johanbleuzen.fr/blog/defaults-apps-2023,Apple Mail,Apple Calendar,Apple Safari,Enpass,Apple Messages,Apple Notes,Apple iCloud,Apple Reminders,Not provided,Not provided,Not provided,Not provided
Yury Molodtsov,https://molodtsov.me/2023/11/my-default-apps/,Gmail,Cron,Arc,1Password,Castro,Craft,iCloud + OneDrive,Things 3,(not specified),(not specified),(not specified),Raycast
humdrum,https://tiv.today/2023/11/defaultapps,Mail.app,Calendar.app,Safari,1Password,Messages.app,OneNote,Files.app,Things,(Blank),(Blank),(Blank),(Blank)
Jonas Brusman,https://jonas.brusman.se/my-default-apps-at-the-end-of-2023/,Migadu,Apple Calendar,Orion,1Password,Signal,Apple Notes,iCloud,Things,Visual Studio Code,iTerm2,Ivory,Raycast
May,https://www.maymeow.com/posts/2023/11/my-app-defaults-2023-edition/,Apple Mail,Samsung Calendar,Chrome,1password,Meta's Messenger,Apple Notes,OneDrive,Samsung Reminder,Visual Studio Code,N/A,N/A,N/A
Konstantin Tutsch,https://konstantintutsch.com/my-app-defaults-because-everyone-is-doing-them/,Thunderbird,Thunderbird,Librewolf,KeePass,WhatsApp,(blank),(blank),Thunderbird,NeoVim,(blank),(blank),(blank)
Paweł Orzech,https://pawel.orzech.me/2023/11/07/my-defaults.html,Mail.app,Calendar,Arc,1Password,Telegram,Obsidian,iCloud,Akiflow,,WebSSH,micro.blog,Raycast
Dmitry Dolzhenko,https://dolzhenko.me/blog/2023/11/default-apps/,Mail.app,Calendar.app,Firefox,1Password,Telegram,Emacs (org-roam),Apple iCloud,Emacs (org-mode),Emacs,iTerm,N/A,N/A
Curt Merrill,https://curtmerrill.com/blog/2023/default-apps/,Mail Client,Fantastical,Safari,1Password,Slack,Bear,iCloud Drive,OmniFocus,N/A,N/A,N/A,N/A
Andy,https://acn.lol/2023/11/07/default-apps,iCloud,iCloud,Safari,Apple Keychain,Discord,Apple Notes,iCloud,Apple Reminders,None listed,None listed,None listed,None listed
Rodrigo Ghedin,https://notes.ghed.in/posts/2023/app-defaults-2023/,Mail.app,Apple Calendar,Safari,,Signal,Simplenote,iCloud,Apple Reminders,,,,
Gregory Hammond,https://gregoryhammond.ca/blog/my-app-defaults-for-november-2023/,Thunderbird,Not mentioned,Librewolf,1Password,Mastodon & LinkedIn,Notepad++,Not mentioned,Zenkit To Do,VSCodium,Not mentioned,Not mentioned,Not mentioned
Paul Stockton,https://pauls.weblog.lol/2024/01/app-defaults,Apple Mail,Fantastical,Arc,1Password,iMessage,Apple Notes,iCloud,Due,N/A,N/A,N/A,N/A
Keenan,https://gkeenan.co/avgb/app-defaults,Apple's Mail.app,Google Calendar,Safari,1Password,iMessage and Discord,Apple's Notes.app,iCloud Drive,Apple's Reminders.app,n/a,n/a,n/a,n/a
Shariq,https://cosmicqbit.dev/default-apps-2023/,Proton,Apple Calendar,Arc (on Mac),Strongbox,Telegram,Crafts,iCloud,Pen & Paper,VSCode,,,Raycast
mitten,https://mitten.lol/2023/11/07/my-default-apps.html,Fastmail,Fantastical,Arc,1Password,Messages,Obsidian,iCloud Drive,Obsidian,VSCode,,Hugo,none mentioned
Topslakr,https://topslakr.com/2023/11/my-default-apps-at-the-end-of-2023/,Apple Mail,Apple Calendar,Firefox,KeePassXC,iMessage,Apple Notes,Nextcloud,Nothing,,,,
Jose Munoz,https://www.josemunozmatos.com/blog/my-app-defaults-2023-edition, Mail, Calendar,Safari, iCloud Keychain, Message, Notes, iCloud Drive,Things,Blank,Blank,Blank,Blank
Kirsty,https://nocto.com/posts/app-defaults-2023,Gmail,Apple Calendar,Arc (desktop),,,Obsidian (desktop),iCloud,Obsidian (desktop),Nova,N/A,N/A,N/A
Alexandra,https://alexink.micro.blog/2023/11/07/my-default-apps.html,Apple Mail,Apple Calendar,Safari,iCloud Keychain,Messages,Apple Notes,iCloud Drive,Reminders,,,,
peroty,https://peroty.micro.blog/2023/11/07/defaults.html,Gmail / Dreamhost mail,Google Calendar,Chrome,1Password for Families,Discord / SMS,Obsidian / Drafts / Apple Notes,Nextcloud,Apple Reminders,VSCodium,,,Alfred
Garrit Franke,https://garrit.xyz/posts/2023-11-07-app-defaults,Thunderbird,Google Calendar,Firefox,Bitwarden,WhatsApp,Pen & Paper,Google Drive,Pen & Paper,,,,
Vincent,https://www.vincentlammens.be/app-defaults.html,Apple's mail client,Apple's calendar app,Safari,Keepass,Discord,Apple's notes.app,My NAS,issues in a git repo,,,,
Ankur Sethi,https://ankursethi.in/posts/default-apps-2023-edition/,Fastmail,Fastmail,,1Password,Telegram,Obsidian,iCloud Drive,Things,Visual Studio Code,iTerm,Not mentioned,Alfred
